,lenght,time_enc,time_dec
1272,30,997304.9163818359,997066.4978027344
1288,19,997781.7535400391,997781.7535400391
1289,19,997781.7535400391,997066.4978027344
1293,19,996589.6606445312,999450.68359375
1294,19,997304.9163818359,995635.986328125
1300,79,997066.4978027344,996828.0792236328
1309,94,997304.9163818359,997304.9163818359
1314,95,997543.3349609375,997781.7535400391
1321,54,996589.6606445312,997781.7535400391
1322,54,997066.4978027344,997304.9163818359
1328,82,997304.9163818359,997304.9163818359
1331,55,996351.2420654297,997543.3349609375
1332,55,996351.2420654297,997781.7535400391
1333,55,996828.0792236328,996828.0792236328
1342,10,997781.7535400391,996828.0792236328
1348,5,996828.0792236328,997066.4978027344
1353,5,997543.3349609375,998258.5906982422
1354,5,997543.3349609375,997066.4978027344
1357,5,997543.3349609375,995397.5677490234
1360,71,997543.3349609375,997066.4978027344
1361,71,997304.9163818359,997543.3349609375
1364,59,997543.3349609375,998020.1721191406
1368,59,997066.4978027344,997543.3349609375
1371,80,997781.7535400391,997543.3349609375
1375,80,997066.4978027344,997304.9163818359
1378,38,998258.5906982422,998020.1721191406
1382,10,997304.9163818359,997304.9163818359
1385,10,997304.9163818359,997304.9163818359
1391,22,997304.9163818359,997304.9163818359
1401,83,998020.1721191406,997304.9163818359
1409,23,996828.0792236328,997304.9163818359
1410,71,998020.1721191406,998020.1721191406
1416,71,997304.9163818359,997304.9163818359
1429,44,997066.4978027344,999212.2650146484
1432,44,997304.9163818359,997066.4978027344
1433,44,997304.9163818359,998020.1721191406
1437,44,997543.3349609375,997781.7535400391
1438,44,997066.4978027344,996828.0792236328
1443,1,997304.9163818359,996589.6606445312
1451,37,997543.3349609375,997781.7535400391
1452,37,997781.7535400391,996589.6606445312
1453,55,997066.4978027344,997304.9163818359
1456,76,997066.4978027344,997066.4978027344
1460,76,997304.9163818359,997304.9163818359
1466,76,996828.0792236328,997304.9163818359
1470,13,997304.9163818359,998258.5906982422
1471,13,998258.5906982422,996828.0792236328
1472,13,996112.8234863281,997304.9163818359
1473,13,997304.9163818359,997304.9163818359
1479,75,997304.9163818359,997543.3349609375
1483,18,997066.4978027344,997781.7535400391
1489,18,997066.4978027344,997304.9163818359
1492,94,997543.3349609375,996828.0792236328
1496,16,998497.0092773438,997543.3349609375
1497,16,997304.9163818359,997066.4978027344
1498,16,997066.4978027344,996828.0792236328
1503,87,997066.4978027344,997781.7535400391
1507,87,999450.68359375,997066.4978027344
1508,87,998258.5906982422,997304.9163818359
1509,87,994682.3120117188,997781.7535400391
1526,58,997543.3349609375,996828.0792236328
1530,58,997543.3349609375,997781.7535400391
1536,95,998020.1721191406,997066.4978027344
1548,60,997781.7535400391,997543.3349609375
1551,60,997304.9163818359,997543.3349609375
1556,74,997543.3349609375,997304.9163818359
1559,70,998020.1721191406,996589.6606445312
1560,70,997066.4978027344,997304.9163818359
1564,65,997066.4978027344,997304.9163818359
1567,65,997781.7535400391,953674.31640625
1571,65,997066.4978027344,997781.7535400391
1572,65,997781.7535400391,997304.9163818359
1577,65,997543.3349609375,998020.1721191406
1580,18,996828.0792236328,997304.9163818359
